ts,symbol,session,price,ret,tick_count,trv,imb,spread,dayrise,status,detail
1772084187.000,086520,CLOSE,184900.0000,0.000,17,16825300,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084188.000,336260,CLOSE,40050.0000,0.250,4,14890700,0.500,0.000,0.000,NO_BUY,confirm_wait 0.1s
1772084188.000,294570,CLOSE,33750.0000,0.000,2,6885000,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ticks cur=2 thr=4 margin=-2; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084189.000,039030,CLOSE,415000.0000,0.000,20,58165000,0.099,0.120,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084189.000,124500,CLOSE,60500.0000,-0.165,3,8214500,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.17 thr=0.15 margin=-0.32 relax=0.00 | all=ret cur=-0.17 thr=0.15 margin=-0.32 relax=0.00; ticks cur=3 thr=4 margin=-1; ret10 cur=-0.17 thr=0.25 margin=-0.42; ret10_non_positive cur=-0.17
1772084193.000,122630,CLOSE,110865.0000,0.027,20,36581770,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.03 thr=0.15 margin=-0.12 relax=0.00 | all=ret cur=0.03 thr=0.15 margin=-0.12 relax=0.00; ret10 cur=0.03 thr=0.25 margin=-0.22
1772084193.000,229200,CLOSE,20980.0000,0.048,74,228368152,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.05 thr=0.15 margin=-0.10 relax=0.00 | all=ret cur=0.05 thr=0.15 margin=-0.10 relax=0.00; ret10 cur=0.05 thr=0.25 margin=-0.20
1772084193.000,310210,CLOSE,316000.0000,0.158,3,947000,0.500,0.000,0.000,NO_BUY,reject=ticks cur=3 thr=4 margin=-1 | all=ticks cur=3 thr=4 margin=-1; ret10 cur=0.16 thr=0.25 margin=-0.09
1772084194.000,058470,CLOSE,106100.0000,0.000,15,37561400,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084194.000,103590,CLOSE,88200.0000,-0.113,4,9785900,0.715,0.113,0.000,NO_BUY,reject=ret cur=-0.11 thr=0.15 margin=-0.26 relax=0.00 | all=ret cur=-0.11 thr=0.15 margin=-0.26 relax=0.00; ret10 cur=-0.11 thr=0.25 margin=-0.36; ret10_non_positive cur=-0.11
1772084195.000,035420,CLOSE,260000.0000,0.000,24,64483000,0.473,0.192,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084197.000,161580,CLOSE,54100.0000,0.185,10,2330200,0.500,0.000,0.000,NO_BUY,reject=ret10 cur=0.18 thr=0.25 margin=-0.07 | all=ret10 cur=0.18 thr=0.25 margin=-0.07
1772084199.000,396500,CLOSE,34595.0000,0.043,71,393133300,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.04 thr=0.15 margin=-0.11 relax=0.00 | all=ret cur=0.04 thr=0.15 margin=-0.11 relax=0.00; ret10 cur=0.04 thr=0.25 margin=-0.21
1772084200.000,233740,CLOSE,20310.0000,-0.010,35,164694107,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.01 thr=0.15 margin=-0.16 relax=0.00 | all=ret cur=-0.01 thr=0.15 margin=-0.16 relax=0.00; ret10 cur=-0.01 thr=0.25 margin=-0.26; ret10_non_positive cur=-0.01
1772084201.000,064760,CLOSE,235000.0000,0.426,7,15033000,0.500,0.000,0.000,NO_BUY,confirm_wait 0.1s
1772084202.000,005830,CLOSE,208500.0000,0.481,16,87796500,0.077,0.240,0.000,NO_BUY,confirm_wait 0.1s
1772084203.000,005930,CLOSE,215500.0000,0.000,125,883950250,0.471,0.232,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084203.000,377300,CLOSE,68700.0000,0.146,20,15190700,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.15 thr=0.15 margin=-0.00 relax=0.00 | all=ret cur=0.15 thr=0.15 margin=-0.00 relax=0.00; ret10 cur=0.15 thr=0.25 margin=-0.10
1772084205.000,035720,CLOSE,61300.0000,-0.163,28,66180500,0.189,0.163,0.000,NO_BUY,reject=ret cur=-0.16 thr=0.15 margin=-0.31 relax=0.00 | all=ret cur=-0.16 thr=0.15 margin=-0.31 relax=0.00; ret10 cur=-0.16 thr=0.25 margin=-0.41; ret10_non_positive cur=-0.16
1772084205.000,036810,CLOSE,41850.0000,0.360,3,125400,0.500,0.000,0.000,NO_BUY,reject=ticks cur=3 thr=4 margin=-1 | all=ticks cur=3 thr=4 margin=-1
1772084206.000,187660,CLOSE,19070.0000,0.210,151,180403870,0.500,0.000,0.000,NO_BUY,reject=ret10 cur=0.21 thr=0.25 margin=-0.04 | all=ret10 cur=0.21 thr=0.25 margin=-0.04
1772084206.000,066570,CLOSE,146000.0000,-0.068,31,17524700,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.07 thr=0.15 margin=-0.22 relax=0.00 | all=ret cur=-0.07 thr=0.15 margin=-0.22 relax=0.00; ret10 cur=-0.07 thr=0.25 margin=-0.32; ret10_non_positive cur=-0.07
1772084207.000,086520,CLOSE,185000.0000,-0.054,32,41079800,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.05 thr=0.15 margin=-0.20 relax=0.00 | all=ret cur=-0.05 thr=0.15 margin=-0.20 relax=0.00; ret10 cur=-0.05 thr=0.25 margin=-0.30; ret10_non_positive cur=-0.05
1772084208.000,064400,CLOSE,73900.0000,0.136,44,85385200,0.567,0.135,0.000,NO_BUY,reject=ret cur=0.14 thr=0.15 margin=-0.01 relax=0.00 | all=ret cur=0.14 thr=0.15 margin=-0.01 relax=0.00; ret10 cur=0.14 thr=0.25 margin=-0.11
1772084208.000,336260,CLOSE,40050.0000,-0.125,8,9689650,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.12 thr=0.15 margin=-0.27 relax=0.00 | all=ret cur=-0.12 thr=0.15 margin=-0.27 relax=0.00; ret10 cur=-0.12 thr=0.25 margin=-0.37; ret10_non_positive cur=-0.12
1772084212.000,039030,CLOSE,415000.0000,0.241,6,17447000,0.149,0.121,0.000,NO_BUY,reject=ret10 cur=0.24 thr=0.25 margin=-0.01 | all=ret10 cur=0.24 thr=0.25 margin=-0.01
1772084213.000,122630,CLOSE,110910.0000,-0.096,55,309784076,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.10 thr=0.15 margin=-0.25 relax=0.00 | all=ret cur=-0.10 thr=0.15 margin=-0.25 relax=0.00; ret10 cur=-0.10 thr=0.25 margin=-0.35; ret10_non_positive cur=-0.10
1772084213.000,229200,CLOSE,20980.0000,-0.048,81,361551995,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.05 thr=0.15 margin=-0.20 relax=0.00 | all=ret cur=-0.05 thr=0.15 margin=-0.20 relax=0.00; ret10 cur=-0.05 thr=0.25 margin=-0.30; ret10_non_positive cur=-0.05
1772084214.000,103590,CLOSE,88100.0000,-0.113,5,11453200,0.679,0.113,0.000,NO_BUY,reject=ret cur=-0.11 thr=0.15 margin=-0.26 relax=0.00 | all=ret cur=-0.11 thr=0.15 margin=-0.26 relax=0.00; ret10 cur=-0.11 thr=0.25 margin=-0.36; ret10_non_positive cur=-0.11
1772084214.000,058470,CLOSE,106000.0000,-0.094,17,32119400,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.09 thr=0.15 margin=-0.24 relax=0.00 | all=ret cur=-0.09 thr=0.15 margin=-0.24 relax=0.00; ret10 cur=-0.09 thr=0.25 margin=-0.34; ret10_non_positive cur=-0.09
1772084214.000,115180,CLOSE,33850.0000,0.000,3,3684200,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ticks cur=3 thr=4 margin=-1; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084215.000,310210,CLOSE,316500.0000,0.000,7,32548000,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084216.000,035420,CLOSE,260000.0000,0.000,31,376746500,0.470,0.192,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084218.000,124500,CLOSE,60500.0000,0.000,3,14943500,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ticks cur=3 thr=4 margin=-1; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084219.000,396500,CLOSE,34575.0000,-0.043,90,290171605,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.04 thr=0.15 margin=-0.19 relax=0.00 | all=ret cur=-0.04 thr=0.15 margin=-0.19 relax=0.00; ret10 cur=-0.04 thr=0.25 margin=-0.29; ret10_non_positive cur=-0.04
1772084220.000,233740,CLOSE,20305.0000,-0.074,62,152619015,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.07 thr=0.15 margin=-0.22 relax=0.00 | all=ret cur=-0.07 thr=0.15 margin=-0.22 relax=0.00; ret10 cur=-0.07 thr=0.25 margin=-0.32; ret10_non_positive cur=-0.07
1772084220.000,002020,CLOSE,71000.0000,-0.281,2,142200,0.500,0.000,0.000,NO_BUY,reject=ret cur=-0.28 thr=0.15 margin=-0.43 relax=0.00 | all=ret cur=-0.28 thr=0.15 margin=-0.43 relax=0.00; ticks cur=2 thr=4 margin=-2; ret10 cur=-0.28 thr=0.25 margin=-0.53; ret10_non_positive cur=-0.28
1772084221.000,064760,CLOSE,235500.0000,0.000,2,2826000,0.500,0.000,0.000,NO_BUY,reject=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00 | all=ret cur=0.00 thr=0.15 margin=-0.15 relax=0.00; ticks cur=2 thr=4 margin=-2; ret10 cur=0.00 thr=0.25 margin=-0.25; ret10_non_positive cur=0.00
1772084222.000,005830,CLOSE,209500.0000,0.481,70,1672438750,0.101,0.239,0.000,NO_BUY,pullback_wait cur=209500.00 peak=209500.00 pb_thr=209081.00 reb_thr=209395.25 pulled=0
