date,equity
2021-12-22,148414937.7077263
2021-12-23,149471347.7077263
2021-12-24,149791001.7077263
2021-12-27,148111583.7077263
2021-12-28,149809792.7077263
2021-12-29,150574797.7077263
2021-12-30,148831004.75349632
2022-01-03,148951173.75349632
2022-01-04,147925150.75349632
2022-01-05,145001479.75349632
2022-01-06,141821945.75349632
2022-01-07,143343364.75349632
2022-01-10,141028004.75349632
2022-01-11,141372815.75349632
2022-01-12,144970367.75349632
2022-01-13,144085865.75349632
2022-01-14,141114378.75349632
2022-01-17,139725399.75349632
2022-01-18,138717580.75349632
2022-01-19,136983992.75349632
2022-01-20,139146621.75349632
2022-01-21,137354442.75349632
2022-01-24,135418685.75349632
2022-01-25,131682393.75349632
2022-01-26,131232810.75349632
2022-01-27,125678341.75349632
2022-01-28,127721613.28139132
2022-02-03,129474970.28139132
2022-02-04,130584866.28139132
2022-02-07,128898814.28139132
2022-02-08,128132543.28139132
2022-02-09,129156617.28139132
2022-02-10,130262248.28139132
2022-02-11,128426837.28139132
2022-02-14,126002079.28139132
2022-02-15,125285555.28139132
2022-02-16,127960900.28139132
2022-02-17,128318297.28139132
2022-02-18,128543087.28139132
2022-02-21,128799649.28139132
2022-02-22,126891712.28139132
2022-02-23,127604299.28139132
2022-02-24,123233155.28139132
2022-02-25,125865333.28139132
2022-02-28,127361048.65915172
2022-03-02,126497602.65915172
2022-03-03,128542301.65915172
2022-03-04,125547456.65915172
2022-03-07,123280716.65915172
2022-03-08,122075200.65915172
2022-03-10,124944189.65915172
2022-03-11,123649495.65915172
2022-03-14,123427386.65915172
2022-03-15,122776816.65915172
2022-03-16,124984660.65915172
2022-03-17,127706265.65915172
2022-03-18,128393471.65915172
2022-03-21,127000856.65915172
2022-03-22,127845778.65915172
2022-03-23,128839387.65915172
2022-03-24,128927019.65915172
2022-03-25,130229052.65915172
2022-03-28,129580710.65915172
2022-03-29,129580528.65915172
2022-03-30,131090097.65915172
2022-03-31,131549882.39759922
2022-04-01,129986953.39759922
2022-04-04,130958792.39759922
2022-04-05,131645788.39759922
2022-04-06,130098648.39759922
2022-04-07,127913395.39759922
2022-04-08,127945266.39759922
2022-04-11,126521421.39759922
2022-04-12,125043167.39759922
2022-04-13,124786888.39759922
2022-04-14,126016757.39759922
2022-04-15,124288039.39759922
2022-04-18,124504459.39759922
2022-04-19,125558308.39759922
2022-04-20,125382498.39759922
2022-04-21,124864573.39759922
2022-04-22,124649861.39759922
2022-04-25,121864594.39759922
2022-04-26,122540013.39759922
2022-04-27,121452395.39759922
2022-04-28,122442109.39759922
2022-04-29,122655497.85301587
2022-05-02,122557705.85301587
2022-05-03,122372448.85301587
2022-05-04,122336927.85301587
2022-05-06,120998785.85301587
2022-05-09,119882016.85301587
2022-05-10,119665276.85301587
2022-05-11,119769978.85301587
2022-05-12,116896345.85301587
2022-05-13,119350886.85301587
2022-05-16,119077825.85301587
2022-05-17,119641387.85301587
2022-05-18,119998871.85301587
2022-05-19,118190177.85301587
2022-05-20,120680604.85301587
2022-05-23,121508003.85301587
2022-05-24,119501160.85301587
2022-05-25,119413631.85301587
2022-05-26,118908790.85301587
2022-05-27,120099354.85301587
2022-05-30,120974762.85301587
2022-05-31,121957410.73481837
2022-06-02,121088659.73481837
2022-06-03,121113845.73481837
2022-06-07,118371011.73481837
2022-06-08,118505394.73481837
2022-06-09,118230295.73481837
2022-06-10,117357124.73481837
2022-06-13,113958944.73481837
2022-06-14,113930601.73481837
2022-06-15,112263312.73481837
2022-06-16,113092084.73481837
2022-06-17,112515684.73481837
2022-06-20,111051997.73481837
2022-06-21,112035482.73481837
2022-06-22,109734916.73481837
2022-06-23,107943987.73481837
2022-06-24,110356584.73481837
2022-06-27,112537641.73481837
2022-06-28,113372194.73481837
2022-06-29,110458933.73481837
2022-06-30,107963284.02613987
2022-07-01,105965323.02613987
2022-07-04,105830599.02613987
2022-07-05,108279184.02613987
2022-07-06,107273249.02613987
2022-07-07,108635218.02613987
2022-07-08,109702731.02613987
2022-07-11,109169662.02613987
2022-07-12,108910406.02613987
2022-07-13,109901612.02613987
2022-07-14,110220469.02613987
2022-07-15,110620860.02613987
2022-07-18,113044865.02613987
2022-07-19,112634939.02613987
2022-07-20,113733106.02613987
2022-07-21,113055461.02613987
2022-07-22,112300016.02613987
2022-07-25,112227171.02613987
2022-07-26,113138070.02613987
2022-07-27,112901616.02613987
2022-07-28,114253968.02613987
2022-07-29,114786051.49230638
2022-08-01,115216999.49230638
2022-08-02,114393280.49230638
2022-08-03,116226594.49230638
2022-08-04,117398031.49230638
2022-08-05,118214988.49230638
2022-08-08,118251044.49230638
2022-08-09,118805877.49230638
2022-08-10,117348575.49230638
2022-08-11,119024370.49230638
2022-08-12,119057755.49230638
2022-08-16,119163993.49230638
2022-08-17,118532147.49230638
2022-08-18,117425907.49230638
2022-08-19,115999849.49230638
2022-08-22,114426538.49230638
2022-08-23,113159226.49230638
2022-08-24,113413058.49230638
2022-08-25,114546035.49230638
2022-08-26,114607497.49230638
2022-08-29,112147910.49230638
2022-08-30,113509931.49230638
2022-08-31,114522606.19640887
2022-09-01,112461375.19640887
2022-09-02,112358456.19640887
2022-09-05,111791498.19640887
2022-09-06,111723821.19640887
2022-09-07,110848356.19640887
2022-09-08,111987102.19640887
2022-09-13,114610048.19640887
2022-09-14,113638241.19640887
2022-09-15,113107452.19640887
