date,sym,side,price,qty,value,cost
20200429,009150,SELL,113159.5,39,4413220.5,10812.390225
20200429,005935,SELL,42123.25,109,4591434.25,11249.0139125
20200429,005690,BUY,19056.999999999996,257,4897648.999999999,734.6473499999998
20200429,003000,BUY,21865.399999999998,224,4897849.6,734.6774399999999
20200429,008350,BUY,4894.639999999999,961,4703749.039999999,705.5623559999998
20200529,026890,SELL,10518.35,505,5311766.75,13013.8285375
20200529,035420,BUY,226677.99999999997,23,5213593.999999999,782.0390999999998
20200630,008350,SELL,6151.49,961,5911581.89,14483.375630499999
20200630,034730,BUY,291872.99999999994,19,5545586.999999999,831.8380499999998
20200731,180640,SELL,83748.0,72,6029856.0,14773.1472
20200731,285130,BUY,180014.42799999999,35,6300504.9799999995,945.0757469999999
20200831,005690,SELL,22332.8,257,5739529.6,14061.84752
20200831,096770,BUY,143101.01899999997,40,5724040.759999999,858.6061139999997
20200929,207940,SELL,1000607.146,5,5003035.7299999995,12257.437538499998
20200929,003000,SELL,23691.711,224,5306943.2639999995,13002.010996799998
20200929,034730,SELL,197904.5,19,3760185.5,9212.454475
20200929,011000,BUY,19463.214999999997,397,7726896.354999999,1159.0344532499996
20200929,009830,BUY,46637.49399999999,138,6435974.171999998,965.3961257999997
20201030,034020,BUY,13310.812999999998,4,53243.25199999999,7.986487799999998
20201130,096770,SELL,169712.331,40,6788493.24,16631.808438
20201130,034020,SELL,16118.499,4,64473.996,157.96129019999998
20201130,006280,BUY,358572.49999999994,18,6454304.999999999,968.1457499999998
20201130,005935,BUY,61283.299999999996,6,367699.8,55.15496999999999
20201230,011000,SELL,14060.691,397,5582094.3270000005,13676.13110115
20201230,066570,BUY,135404.99999999997,40,5416199.999999999,812.4299999999998
20210129,285130,SELL,280048.327,35,9801691.445,24014.14404025
20210129,006280,SELL,422229.5,18,7600131.0,18620.32095
20210129,000270,BUY,82747.49999999999,103,8522992.499999998,1278.4488749999996
20210129,096770,BUY,276332.518,31,8566308.058,1284.9462087
20210226,009830,SELL,56035.388,138,7732883.544,18945.5646828
20210226,012330,BUY,303908.99999999994,26,7901633.999999998,1185.2450999999996
20210331,019170,SELL,84844.7,311,26386701.7,64647.419165
20210331,011200,BUY,29086.999999999996,291,8464316.999999998,1269.6475499999997
20210430,233740,SELL,14157.4,562,7956458.8,19493.32406
20210430,005935,SELL,73080.1,6,438480.60000000003,1074.27747
20210430,005490,BUY,365091.99999999994,23,8397115.999999998,1259.5673999999997
20210430,011780,BUY,260779.99999999997,33,8605739.999999998,1290.8609999999996
20210531,012330,SELL,279160.0,26,7258160.0,17782.492
20210531,019170,BUY,64894.09999999999,136,8825597.6,1323.83964
20210630,251340,SELL,4371.845,655,2863558.475,7015.71826375
20210630,114800,SELL,3668.96,775,2843444.0,6966.4378
20210630,011780,SELL,218343.0,33,7205319.0,17653.03155
20210630,034020,BUY,23088.056999999997,411,9489191.427,1423.3787140499996
20210630,011000,BUY,31048.867999999995,306,9500953.608,1425.1430411999997
