date,equity
2021-06-03,110000383.21848032
2021-06-04,110984309.21848032
2021-06-07,114517801.21848032
2021-06-08,112014546.21848032
2021-06-09,113012656.21848032
2021-06-10,111141161.21848032
2021-06-11,111251134.21848032
2021-06-14,110019326.21848032
2021-06-15,108403548.21848032
2021-06-16,108895505.21848032
2021-06-17,108323506.21848032
2021-06-18,109248177.21848032
2021-06-21,107332033.21848032
2021-06-22,110544111.21848032
2021-06-23,108681953.21848032
2021-06-24,109812480.21848032
2021-06-25,110944889.21848032
2021-06-28,109903893.21848032
2021-06-29,110736501.21848032
2021-06-30,109466086.854108
2021-07-01,109257229.854108
2021-07-02,108109028.854108
2021-07-05,108899324.854108
2021-07-06,107767610.854108
2021-07-07,107269152.854108
2021-07-08,103521040.854108
2021-07-09,102813658.854108
2021-07-12,103429503.854108
2021-07-13,105650068.854108
2021-07-14,105855070.854108
2021-07-15,107699875.854108
2021-07-16,107591661.854108
2021-07-19,106936070.854108
2021-07-20,105262451.854108
2021-07-21,105141982.854108
2021-07-22,106039271.854108
2021-07-23,105258919.854108
2021-07-26,103965880.854108
2021-07-27,105401905.854108
2021-07-28,103382406.854108
2021-07-29,102919695.854108
2021-07-30,100574716.04828778
2021-08-02,93229591.04828778
2021-08-03,92651166.04828778
2021-08-04,94755286.04828778
2021-08-05,92404031.04828778
2021-08-06,95998836.04828778
2021-08-09,94630121.04828778
2021-08-10,92829281.04828778
2021-08-11,88694606.04828778
2021-08-12,87133231.04828778
2021-08-13,87712031.04828778
2021-08-17,83107641.04828778
2021-08-18,84685106.04828778
2021-08-19,83964586.04828778
2021-08-20,83179376.04828778
2021-08-23,86178291.04828778
2021-08-24,87350561.04828778
2021-08-25,87878716.04828778
2021-08-26,89293246.04828778
2021-08-27,89735621.04828778
2021-08-30,90748456.04828778
2021-08-31,91090191.56547251
2021-09-01,88967191.56547251
2021-09-02,89096391.56547251
2021-09-03,90414241.56547251
2021-09-06,92071691.56547251
2021-09-07,91939791.56547251
2021-09-08,90644841.56547251
2021-09-09,90741291.56547251
2021-09-10,89549241.56547251
2021-09-13,89927491.56547251
2021-09-14,91845641.56547251
2021-09-15,91516991.56547251
2021-09-16,91965991.56547251
2021-09-17,90667391.56547251
2021-09-23,91090241.56547251
2021-09-24,90494441.56547251
2021-09-27,92648091.56547251
2021-09-28,91668191.56547251
2021-09-29,91978841.56547251
2021-09-30,91218351.72516751
2021-10-01,90341701.72516751
2021-10-05,89361801.72516751
2021-10-06,87035451.72516751
2021-10-07,88145351.72516751
2021-10-08,89141051.72516751
2021-10-12,89585201.72516751
2021-10-13,89509351.72516751
2021-10-14,89060751.72516751
2021-10-15,91254551.72516751
2021-10-18,92673301.72516751
2021-10-19,92705501.72516751
2021-10-20,93921101.72516751
2021-10-21,92157151.72516751
2021-10-22,91662551.72516751
2021-10-25,90200751.72516751
2021-10-26,92777751.72516751
2021-10-27,93795401.72516751
2021-10-28,92925051.72516751
2021-10-29,92532948.61570051
2021-11-01,91634514.61570051
2021-11-02,92241906.61570051
2021-11-03,88660824.61570051
2021-11-04,85788366.61570051
2021-11-05,86281872.61570051
2021-11-08,87268884.61570051
2021-11-09,87167652.61570051
2021-11-10,83105718.61570051
2021-11-11,81119040.61570051
2021-11-12,83004486.61570051
2021-11-15,82017474.61570051
2021-11-16,81815010.61570051
2021-11-17,79334826.61570051
2021-11-18,77942886.61570051
2021-11-19,82802022.61570051
2021-11-22,82612212.61570051
2021-11-23,81220272.61570051
2021-11-24,79436058.61570051
2021-11-25,83206950.61570051
2021-11-26,81410082.61570051
2021-11-29,77942886.61570051
2021-11-30,74163437.68985851
2021-12-01,74163437.68985851
2021-12-02,74163437.68985851
2021-12-03,74163437.68985851
2021-12-06,74163437.68985851
2021-12-07,74163437.68985851
2021-12-08,74163437.68985851
2021-12-09,74163437.68985851
2021-12-10,74163437.68985851
2021-12-13,74163437.68985851
2021-12-14,74163437.68985851
2021-12-15,74163437.68985851
2021-12-16,74163437.68985851
2021-12-17,74163437.68985851
2021-12-20,74163437.68985851
2021-12-21,74163437.68985851
2021-12-22,74163437.68985851
2021-12-23,74163437.68985851
2021-12-24,74163437.68985851
2021-12-27,74163437.68985851
2021-12-28,74163437.68985851
2021-12-29,74163437.68985851
2021-12-30,73931690.08378652
2022-01-03,75894380.08378652
2022-01-04,75306720.08378652
2022-01-05,73820370.08378652
2022-01-06,72959860.08378652
2022-01-07,76239070.08378652
2022-01-10,71181630.08378652
2022-01-11,70813050.08378652
2022-01-12,70868060.08378652
2022-01-13,68959870.08378652
2022-01-14,68994040.08378652
2022-01-17,67084100.08378652
2022-01-18,65338740.08378652
2022-01-19,64182790.08378652
2022-01-20,65877660.08378652
2022-01-21,63333860.08378652
2022-01-24,62532370.08378652
2022-01-25,61275110.08378652
2022-01-26,60798440.08378652
2022-01-27,58996080.08378652
2022-01-28,60794073.15398503
2022-02-03,61073073.15398503
2022-02-04,64142073.15398503
2022-02-07,64235073.15398503
2022-02-08,63770073.15398503
2022-02-09,64235073.15398503
2022-02-10,63770073.15398503
2022-02-11,62933073.15398503
2022-02-14,63119073.15398503
2022-02-15,61538073.15398503
2022-02-16,62468073.15398503
2022-02-17,62468073.15398503
2022-02-18,62003073.15398503
2022-02-21,62189073.15398503
2022-02-22,61166073.15398503
2022-02-23,61538073.15398503
2022-02-24,61259073.15398503
2022-02-25,58841073.15398503
2022-02-28,57327057.52230103
2022-03-02,58205977.52230103
2022-03-03,59607197.52230103
2022-03-04,60861497.52230103
2022-03-07,60865767.52230103
2022-03-08,58572117.52230103
2022-03-10,59371567.52230103
2022-03-11,60813927.52230103
2022-03-14,60161287.52230103
2022-03-15,58015327.52230103
2022-03-16,58599117.52230103
2022-03-17,57974517.52230103
2022-03-18,57930867.52230103
2022-03-21,57840297.52230103
2022-03-22,58622947.52230103
2022-03-23,58311607.52230103
2022-03-24,59142807.52230103
2022-03-25,57969817.52230103
2022-03-28,58013527.52230103
2022-03-29,57267637.52230103
2022-03-30,57447117.52230103
2022-03-31,57755518.38951753
2022-04-01,57755518.38951753
2022-04-04,57755518.38951753
2022-04-05,57755518.38951753
2022-04-06,57755518.38951753
2022-04-07,57755518.38951753
2022-04-08,57755518.38951753
2022-04-11,57755518.38951753
2022-04-12,57755518.38951753
2022-04-13,57755518.38951753
2022-04-14,57755518.38951753
2022-04-15,57755518.38951753
2022-04-18,57755518.38951753
