date,sym,side,price,qty,value,cost
20200731,068270,SELL,252484.268,18,4544716.824,11134.5562188
20200731,033270,SELL,24675.75,206,5083204.5,12453.851025
20200731,028260,SELL,105682.0,6,634092.0,1553.5254
20200731,088980,BUY,11287.761999999999,466,5260097.091999999,789.0145637999998
20200731,207940,BUY,1069361.4889999998,4,4277445.955999999,641.6168933999999
20200731,011150,BUY,3595.7549999999997,1465,5267781.074999999,790.1671612499998
20200731,102110,BUY,26706.880999999998,197,5261255.556999999,789.1883335499998
20200731,069500,BUY,26886.417999999998,196,5269737.927999999,790.4606891999998
20200731,001680,BUY,25576.499999999996,206,5268758.999999999,790.3138499999998
20200731,001740,BUY,5105.2699999999995,1032,5268638.64,790.2957959999999
20200731,001040,BUY,82647.2,63,5206773.6,781.0160399999999
20200731,012690,BUY,5857.5199999999995,899,5265910.4799999995,789.8865719999999
20200731,066570,BUY,70912.09999999999,74,5247495.399999999,787.1243099999998
20200731,027740,BUY,3706.0849999999996,1421,5266346.784999999,789.9520177499999
20200831,000100,SELL,56007.472,104,5824777.088,14270.7038656
20200831,000120,SELL,151045.5,31,4682410.5,11471.905725
20200831,088980,SELL,10923.132,466,5090179.512,12470.939804399999
20200831,011150,SELL,5882.3,1465,8617569.5,21113.045275
20200831,001740,SELL,5174.43,1032,5340011.760000001,13083.028812
20200831,001040,SELL,80757.0,63,5087691.0,12464.84295
20200831,012690,SELL,6520.38,899,5861821.62,14361.462969
20200831,066570,SELL,83947.4,74,6212107.6,15219.66362
20200831,027740,SELL,3656.996,1421,5196591.316000001,12731.6487242
20200831,017670,BUY,42916.363999999994,130,5579127.319999999,836.8690979999998
20200831,035720,BUY,81936.07299999999,68,5571652.964,835.7479445999999
20200831,035420,BUY,323467.49999999994,17,5498947.499999999,824.8421249999998
20200831,068270,BUY,254432.01299999998,21,5343072.272999999,801.4608409499998
20200831,026960,BUY,25626.649999999998,217,5560983.05,834.1474574999999
20200831,012510,BUY,101302.99999999999,55,5571664.999999999,835.7497499999998
20200831,079550,BUY,31293.599999999995,178,5570260.799999999,835.5391199999998
20200831,003850,BUY,12217.542999999998,456,5571199.607999999,835.6799411999998
20200831,005490,BUY,185053.49999999997,30,5551604.999999999,832.7407499999998
20200929,004370,SELL,313058.0,16,5008928.0,12271.873599999999
20200929,003230,SELL,99201.5,50,4960075.0,12152.18375
20200929,271560,SELL,130607.0,34,4440638.0,10879.5631
20200929,000080,SELL,36141.25,127,4589938.75,11245.3499375
20200929,035720,SELL,72941.51699999999,68,4960023.1559999995,12152.056732199999
20200929,026960,SELL,29561.05,217,6414747.85,15716.132232499998
20200929,012510,SELL,104186.5,55,5730257.5,14039.130874999999
20200929,079550,SELL,32053.55,178,5705531.899999999,13978.553154999998
20200929,003850,SELL,11619.038,456,5298281.328,12980.789253599998
