date,sym,side,price,qty,value,cost
20210226,145720,BUY,61383.59999999999,567,34804501.199999996,5220.675179999999
20210226,032350,BUY,21815.249999999996,1596,34817138.99999999,5222.570849999998
20210226,001390,BUY,5707.07,6051,34533480.57,5180.0220855
20210331,145720,SELL,63907.7,567,36235665.9,88777.381455
20210331,032350,SELL,18643.9,1596,29755664.400000002,72901.37778000001
20210331,001390,SELL,5383.8,6051,32577373.8,79814.56581
20210331,011700,BUY,2347.0199999999995,10510,24667180.199999996,3700.077029999999
20210331,051600,BUY,31594.499999999996,780,24643709.999999996,3696.5564999999992
20210331,002380,BUY,238212.49999999997,103,24535887.499999996,3680.383124999999
20210331,010140,BUY,7356.0019999999995,3339,24561690.678,3684.2536016999998
20210430,011700,SELL,2213.34,10510,23262203.400000002,56992.39833
20210430,051600,SELL,33848.15,780,26401557.0,64683.81465
20210430,002380,SELL,312061.0,103,32142283.0,78748.59335
20210430,010140,SELL,7057.763,3339,23565870.657,57736.38310965
20210430,042660,BUY,32701.811999999998,1073,35089044.276,5263.3566414
20210430,082740,BUY,7828.414999999999,4486,35118269.69,5267.7404535
20210430,004990,BUY,36709.799999999996,947,34764180.599999994,5214.627089999999
20210531,042660,SELL,29849.183,1073,32028173.359,78469.02472955
20210531,082740,SELL,8172.409,4486,36661426.774,89820.4955963
20210531,034020,BUY,19264.621,559,10768923.139,1615.33847085
20210531,010690,BUY,7321.9,1471,10770514.9,1615.577235
20210531,039130,BUY,87786.57199999999,122,10709961.783999998,1606.4942675999996
20210531,018250,BUY,29438.049999999996,365,10744888.249999998,1611.7332374999996
20210531,007070,BUY,33670.71,319,10740956.49,1611.1434734999998
20210531,013890,BUY,79503.798,135,10733012.729999999,1609.9519094999996
20210531,035250,BUY,28836.249999999996,151,4354273.749999999,653.1410624999997
20210531,079160,BUY,23441.112999999998,2,46882.225999999995,7.0323338999999985
20210531,001740,BUY,6078.179999999999,2,12156.359999999999,1.8234539999999997
20210630,004990,SELL,40079.4,947,37955191.800000004,92990.21991000001
20210630,034020,SELL,22949.943,559,12829018.137,31431.09443565
20210630,010690,SELL,10019.85,1471,14739199.35,36111.0384075
20210630,039130,SELL,77132.905,122,9410214.41,23055.0253045
20210630,018250,SELL,27417.5,365,10007387.5,24518.099374999998
20210630,007070,SELL,32957.829,319,10513547.451,25758.191254949998
20210630,013890,SELL,77893.616,135,10515638.16,25763.313492
20210630,035250,SELL,26819.3,151,4049714.3,9921.800034999998
20210630,079160,SELL,21246.07,2,42492.14,104.10574299999999
20210630,001740,SELL,6001.94,2,12003.88,29.409505999999997
20210630,181710,BUY,43634.511999999995,629,27446108.047999997,4116.916207199999
20210630,010170,BUY,3279.8099999999995,8370,27452009.699999996,4117.801454999999
20210630,090460,BUY,20711.949999999997,1325,27443333.749999996,4116.500062499999
20210630,033530,BUY,9949.759999999998,2731,27172794.559999995,4075.919183999999
20210730,181710,SELL,40149.19,629,25253840.51,61871.9092495
20210730,010170,SELL,2861.39,8370,23949834.3,58677.094035
20210730,090460,SELL,19092.55,1325,25297628.75,61979.1904375
20210730,033530,SELL,9650.96,2731,26356771.759999998,64574.090811999995
20210730,025860,BUY,12637.8,2661,33629185.8,5044.377869999999
20210730,007110,BUY,3134.3749999999995,10729,33628709.37499999,5044.306406249999
20210730,344820,BUY,74522.9,446,33237213.4,4985.582009999999
20210831,025860,SELL,10917.15,2661,29050536.15,71173.8135675
20210831,007110,SELL,2706.855,10729,29041847.295,71152.52587275
20210831,344820,SELL,74276.5,446,33127319.0,81161.93155
20210831,089980,BUY,71112.7,214,15218117.799999999,2282.7176699999995
20210831,006280,BUY,386154.99999999994,39,15060044.999999998,2259.0067499999996
